survived,pclass,sex,age,sibsp,parch,fare,embarked
0,1,male,24.33777856293337,0,0,7.0,S
0,2,female,42.48935263983216,0,0,58.1410618070888,S
1,1,male,40.37031754547429,2,0,8.774399000575613,Q
0,1,male,19.72546798611669,0,0,7.0,S
0,3,male,33.884627445494424,0,0,22.496596673547177,
1,2,male,17.34011918550457,0,1,46.85579192792576,S
0,3,male,12.444582022532835,0,0,7.0,Q
0,3,female,,0,0,27.51773159405227,C
1,2,male,39.34872166859311,0,1,7.0,S
0,2,female,40.43750054451304,0,0,7.0,C
0,2,female,35.157025041167515,0,0,7.0,S
0,3,male,37.70114944217597,1,0,57.49621066501798,S
0,2,male,35.1941394453795,1,1,7.0,S
1,3,female,21.302220857324574,0,0,7.0,S
1,2,male,34.183070536087286,0,0,18.434409862288963,S
1,3,male,38.60491430273218,1,0,59.451437634645096,Q
1,2,female,38.051495957762896,1,0,9.739678822911388,S
1,2,male,43.26696045769572,0,0,17.525898635559052,Q
0,3,female,37.49964616641277,1,0,7.0,S
1,3,female,33.217378490498994,0,0,19.077215164004432,S
0,1,male,41.84180285979713,1,1,27.578672463585356,S
1,3,male,,2,0,27.07461521922078,S
1,2,male,18.417504185267386,0,0,12.931394248963738,S
0,3,male,27.043196432674833,1,1,12.131683511537341,S
0,3,male,,0,0,7.0,S
0,2,female,20.897860700307422,2,0,14.62292156189729,S
0,1,male,27.265775951413787,0,0,7.0,C
1,2,male,19.490960948000463,1,1,46.55949390205983,S
1,3,female,25.304461644331518,0,0,108.46384173502692,S
0,3,female,6.276623996554573,0,0,112.28937187846094,S
0,2,female,31.55952448847526,0,1,64.09623364220248,Q
0,1,male,29.01446570434669,2,0,29.384738200169057,C
0,3,female,19.194936427181712,1,1,38.61960426694711,S
0,3,male,36.91094802118886,1,2,10.74433963640002,S
0,3,male,40.2508416515187,2,0,31.882773147319277,S
1,1,male,9.70928162757231,0,0,19.46118492647362,Q
0,2,female,19.84730265720543,0,0,21.050032376184937,S
0,1,male,19.77029180255242,0,0,45.372629586359466,S
1,3,male,17.721162786693625,0,0,10.59750417699731,S
0,1,male,38.95369810318098,0,0,12.249078543647967,S
1,3,male,26.674086334726358,0,1,82.73607733206441,Q
1,2,female,25.825821904272672,0,0,7.0,S
0,3,female,4.953651627118958,0,0,21.274265114367054,S
0,3,female,36.62501636251072,0,1,78.06592406715424,S
0,3,male,14.12889926175833,0,2,30.1612724028512,C
0,2,male,29.71919156319594,2,0,25.297763916670963,C
0,1,male,32.3285232554983,1,2,9.19491316001209,S
1,1,male,45.32790315006381,2,0,13.455701186514993,S
0,3,male,13.294155210570654,0,1,61.14784616171052,C
0,3,female,1.0,0,0,26.214564984494185,S
0,3,male,31.20619453704434,1,0,23.138399040251624,S
1,3,male,50.60613417813025,0,0,7.0,S
0,3,male,43.86735623527325,0,0,7.0,Q
0,1,male,31.515912983295507,0,0,106.09694706498544,S
0,3,male,23.10036577241543,0,0,15.141969825576579,C
1,2,female,38.685471159647726,0,0,29.579386326745258,S
0,2,female,17.317445603546375,0,1,7.0,S
1,3,female,34.71629323227463,0,0,36.77485097262259,S
1,1,male,35.06564190999952,0,0,86.29172630069837,S
0,1,male,41.72251888998656,0,0,27.431444402941313,S
1,3,male,62.115920466932934,1,0,7.0,S
0,1,male,33.708991606145204,0,1,27.891451713760148,S
1,3,female,22.892436491510015,0,1,46.525410632229,C
1,2,male,28.693108253696067,1,0,16.690478260060175,Q
0,2,male,7.771089141330581,0,0,67.80519516726602,S
0,2,male,20.6634424269313,0,0,33.474118285698935,S
1,2,male,24.08861074264275,0,0,73.44327493214027,S
0,3,female,22.71093922478489,0,1,31.25924283969056,S
0,2,male,30.828258464404662,0,0,7.0,C
0,3,male,19.130960811413594,1,0,11.859743541583828,S
0,2,male,42.452368007893654,0,0,7.212472238816707,S
1,3,male,29.002484779018364,0,0,76.63971101629767,C
0,3,female,28.88839614633663,0,2,45.721110194350324,S
0,3,female,,0,0,36.10374570749913,S
0,2,female,,0,0,11.457803336427926,S
1,1,female,38.90117917601162,0,0,7.0,S
0,2,male,18.594437411469194,0,0,45.19799955037503,S
1,3,female,21.10260213109692,0,0,20.568140437547104,C
0,1,male,25.355287654680023,0,0,8.189169468906695,C
1,2,male,12.849548918321421,0,0,30.679480780429987,S
0,3,female,,1,0,7.0,Q
0,2,male,23.28534951746409,0,0,12.632889681388985,S
0,3,female,39.492670168552735,0,0,20.2290982535519,C
1,1,male,32.1507359480231,0,0,7.0,S
1,1,female,31.323078936410532,1,0,133.6618095113771,C
0,3,female,39.21077554601567,0,0,7.5065730974701586,Q
1,2,female,27.35153853920724,0,0,7.0,S
1,3,female,33.685578199146676,1,0,7.282301904122185,Q
0,2,female,27.761338964810044,1,0,46.89927197434534,C
0,2,male,32.18434819279554,0,0,17.736481040628487,C
0,3,male,22.006896108661017,0,0,26.66770843736088,S
0,3,male,1.0,1,0,7.0,C
1,3,female,27.38865005376435,2,0,7.0,C
1,2,male,46.07297763319928,1,0,18.888823993406092,S
1,3,female,40.114584826899105,0,0,54.28438340977854,Q
0,2,male,40.58476981509405,0,0,69.27688054900982,S
0,1,male,43.83356866167462,0,1,7.0,S
1,3,female,30.06389109153725,1,0,24.73525223017761,S
1,1,male,31.36778848886715,0,0,78.2237031564654,S
1,3,male,21.588177254787798,0,0,15.711311312097546,S
1,2,male,25.207125727675404,1,0,56.620997276856244,S
1,1,female,36.3892537972537,0,0,7.0,Q
0,3,female,43.44661324602579,1,0,87.66257832228077,S
0,3,male,27.326644691828005,0,1,44.54412478988553,S
1,3,male,23.59772882178306,0,0,90.74885221256962,S
1,3,male,29.006335506279168,0,2,36.12539590139509,S
0,3,female,36.21448098714938,1,0,14.451838102889933,Q
0,3,female,,0,0,89.07351389478012,S
1,3,male,1.4458285623531424,0,0,10.31570208921435,C
0,2,male,22.393557806100997,2,0,12.919212971568717,S
0,2,male,14.351450889030097,0,0,38.61347738592534,S
0,2,female,22.902317628232268,0,0,46.384532060056216,S
1,3,female,27.226636174190343,0,0,84.82478342418575,S
1,3,male,23.56101909172384,0,1,7.333268900531426,S
0,1,male,46.429610413648945,0,1,51.18329135970338,S
1,3,male,32.92093717522784,0,0,42.927907948910665,S
0,3,female,32.60569231532994,0,0,7.0,C
0,1,male,36.46648572852082,0,0,15.672141578889113,S
1,3,female,15.33400258663077,0,0,10.635275993684756,S
1,3,female,41.46934144904323,0,0,11.61953599073874,S
1,1,male,28.090828561574483,0,0,130.28550638971643,S
1,3,male,37.045767406894555,0,0,32.94067839487363,C
0,2,male,,0,0,40.47041568976886,S
0,3,female,10.354894807807227,0,2,120.18474471127885,S
0,3,female,38.81467589630034,0,0,15.153046433051971,Q
0,3,female,33.5169143131702,1,1,51.797803004358535,S
0,2,male,18.175381347709873,0,0,18.243191640931588,S
1,3,male,18.56404302470367,2,0,65.17248342666905,S
0,3,female,42.50521741297723,2,0,7.0,S
1,2,female,14.727057285592066,0,0,94.41582854266841,C
1,3,male,48.71207543907156,0,0,7.900411682672355,C
1,1,female,18.192551184225575,0,0,12.6352762653334,Q
0,3,female,36.6607031073006,1,0,45.164006684850946,S
0,2,male,25.056578291012183,0,0,16.015082166369183,S
0,1,female,36.23824917298812,0,0,29.985049954289757,C
0,1,female,22.47063197462969,0,0,18.81660780202758,S
1,3,female,27.04648512713247,1,0,43.39937880695321,S
0,2,male,29.491030104748653,1,0,8.294396941408168,S
0,3,male,16.973750530622326,0,0,7.0,S
1,1,female,37.889892145041514,0,0,11.410370824706355,S
0,2,male,22.841437202340977,0,2,20.577313722468997,C
1,3,male,26.256801015919777,0,0,7.0,C
1,3,male,17.067807504697853,1,0,14.022103422699386,S
1,2,male,,0,0,16.345514282318597,S
0,3,female,26.70766684879797,0,0,7.0,S
0,3,female,57.95138505935499,0,0,28.01299631857798,C
1,3,male,38.41525145477628,1,0,69.0281620812456,S
0,2,male,28.768875443187266,1,0,7.0,C
1,1,male,,0,0,29.14642322445703,S
1,3,female,29.269590713744556,1,0,34.97108983110311,S
1,1,female,35.56542938210252,0,0,17.394583364349906,S
0,3,male,14.830246216293862,0,0,38.6444204163018,C
0,3,female,42.371860336026465,0,1,16.923949299892854,S
1,3,female,37.58457578529493,0,0,22.478881061889982,S
0,3,female,,0,0,7.0,S
0,3,female,34.26170886571673,2,0,37.65591002569636,C
0,2,male,29.23539989232788,0,0,34.64852912645769,C
1,3,female,37.07433483160184,0,2,7.0,S
1,2,male,36.10176960489654,0,0,14.696374486723242,C
0,2,female,24.751511468707715,0,1,123.67200704225674,S
0,3,female,,2,1,17.471933374597945,S
1,3,female,30.22227554314384,0,0,22.305458550941047,S
1,3,female,47.58824181794225,0,0,77.02943645287947,S
0,3,male,14.130715092153189,1,0,40.42349331716974,C
0,2,male,11.389696810970719,0,2,27.91813242696957,C
1,2,female,30.977130094838202,0,0,51.1526759902969,S
1,3,female,29.610652422272217,0,0,63.92950918291205,S
1,2,male,,0,0,19.534075228564745,C
1,1,male,31.927438374902003,2,0,20.62603030687476,Q
0,2,male,26.32157294438234,1,0,15.610985963641745,S
0,2,female,46.87836126322499,0,0,108.87623308593558,Q
1,2,female,9.789152258281813,1,1,38.22628217881542,S
1,2,male,19.05803570263705,0,1,7.0,S
1,1,male,27.76094287821143,0,1,63.599349639442885,C
1,1,female,9.281734266149993,0,0,20.960123420251012,S
0,3,female,26.889747146815147,0,0,7.0,S
0,2,male,48.93764198873622,0,0,25.532146293439887,S
1,2,male,29.250637859551542,0,0,17.275197262695784,C
1,3,male,31.7684108686242,2,0,67.25383303806777,C
1,2,male,13.878022817929036,0,0,7.300778040817351,S
1,3,male,21.60366310352627,0,0,56.043959056772614,S
1,3,female,24.497643436112757,0,2,26.103722439533563,S
0,1,female,25.18741883892519,0,0,7.0,S
0,2,female,44.37972554004523,0,0,114.24131272678285,S
0,3,female,35.692292728701496,0,0,22.998445268835034,C
0,3,male,15.662504516755616,1,0,10.999234500962798,S
0,2,male,31.95805734118406,0,0,20.280311429677646,S
0,3,male,34.978660981961426,0,1,62.42967033751132,S
0,1,male,42.6817884622552,0,1,11.638529720228215,S
0,3,female,47.96648823882048,0,1,7.0,Q
0,2,female,16.818869698065576,0,2,7.0,S
0,3,male,19.269709865475942,1,0,11.315891450166298,S
0,3,male,13.909065693024605,0,0,48.45908268723366,S
1,3,female,26.191761690716223,0,0,20.414451323537577,S
0,3,male,34.59630049335601,0,0,8.259182608154882,S
0,2,male,40.848014199069226,0,0,7.0,S
0,1,female,28.088587716289727,0,0,12.945911451188174,S
1,2,female,25.161829720941874,1,0,89.98883387384981,S
0,1,male,30.821095906984883,0,0,13.443581432205056,S
1,3,male,18.978285180439723,1,0,141.8637477677541,S
0,2,female,,0,0,21.24915089259439,Q
0,1,male,9.708067674583297,1,0,7.0,
0,3,male,31.216886946748694,0,0,70.96619101445658,S
0,3,female,53.28327463075567,0,0,19.73902254283034,S
1,3,male,29.08159813471997,0,0,39.57573438204968,S
1,3,female,26.719531579982068,2,0,131.7536336035943,C
1,1,male,24.710654926274874,0,0,7.0,S
0,2,female,26.835299818851105,0,0,7.0,C
0,3,male,45.474181696118364,0,0,40.78714327071593,S
1,3,male,2.457657064045918,1,0,10.593344372160686,S
0,1,male,47.40120441555591,0,0,7.0,C
0,3,male,11.912514170598257,1,0,7.0,S
0,2,female,,0,0,7.0,S
0,2,female,23.84906695641606,0,0,47.659880890215305,S
1,3,male,36.06263923724864,0,0,7.0,C
1,3,male,9.822507777395028,2,0,20.17877662523856,S
1,3,female,34.546071992983315,0,0,29.7965604340514,C
0,1,female,53.29171547944223,2,0,17.895408408769978,
0,3,male,12.641911944886274,0,0,7.0,C
0,2,male,31.276474011324748,0,0,48.965493501553055,S
0,1,male,21.056213866440693,0,0,7.0,C
0,3,female,34.110646474316425,0,0,45.92070667597686,S
1,3,male,29.229773328989026,1,0,71.60883960523859,Q
1,3,female,21.302157091468285,2,0,18.147638045539008,S
0,3,male,34.854467418452884,1,0,24.540325223200526,S
1,3,female,50.652177317440916,1,0,20.74054596301505,S
1,3,male,26.709154499272415,0,0,15.7759941159255,S
0,1,male,37.63709530577818,0,0,69.8922075364257,S
1,2,male,13.480724505546036,2,1,71.79805195788025,Q
0,2,female,17.522763478183897,0,0,13.094291470923924,Q
0,2,male,34.66887533456453,1,0,30.550180491784104,S
0,3,male,46.80939234243158,1,0,83.7129717409754,Q
1,2,male,33.26736018542792,0,0,104.69471203984094,S
0,1,male,25.24330363372215,2,0,22.759287486012948,S
0,2,female,28.99149686508025,0,0,19.295559839863916,C
0,3,female,13.99510719236339,0,0,10.454152294022164,S
0,1,female,36.2541839162644,0,1,102.11401731016774,Q
1,3,male,39.58799674788091,0,0,7.0,S
1,2,female,23.574916006003036,0,0,27.747036118166378,S
0,2,male,23.35949422688598,0,1,10.625676577985677,S
0,3,male,32.19053875582458,1,0,10.468084485287429,S
0,3,male,23.759363167512852,2,1,16.612514576139038,S
0,2,male,28.20640862449013,0,0,215.02605316876068,Q
0,3,female,54.19666146999818,0,1,7.0,C
0,3,female,26.03569159104804,2,0,27.649111017021134,C
0,2,female,24.69991817574533,0,0,7.0,S
1,3,male,21.22949833237809,0,1,7.0,S
1,3,male,37.93030365799924,0,0,18.529226833104836,S
0,3,male,26.825309921382765,0,0,22.857259923816,S
0,3,male,21.207523540142887,0,0,9.58318535250413,S
1,3,male,44.85564838727615,2,0,12.174908952856986,C
0,3,male,46.03523605416365,0,0,7.0,S
1,3,male,21.794917211135537,0,0,11.561127880816626,S
1,3,male,6.601520583672606,0,0,108.73458632360028,S
0,3,female,41.09016427804306,0,0,92.64370763185036,S
0,3,female,20.784442090879953,0,0,13.049127447117808,S
1,3,female,38.48750718995322,1,0,27.07065418009138,Q
0,1,female,5.358754187457976,1,0,76.91072094712307,S
0,3,male,39.711168059591714,0,0,7.0,C
1,3,female,14.465936848630626,2,0,53.25873385173943,S
0,1,female,37.76916942879829,1,0,94.8365989850443,S
0,3,male,29.17127681403721,1,0,7.0,S
1,1,male,,0,0,7.0,C
0,2,female,24.115564244878634,0,0,103.60670855301848,C
0,3,male,37.23582148348041,0,1,24.67825673142234,S
1,1,male,30.27073343738281,0,0,7.0,S
0,3,male,36.01295576566981,0,0,9.533126407098424,S
1,3,male,52.71728701418583,0,0,19.127507058526536,S
1,3,male,10.229100659467385,1,0,37.77954779660708,Q
0,1,male,48.40655089962348,1,1,42.275438983478885,S
0,2,male,,2,0,172.3643733919056,S
0,3,male,18.21459142012246,0,0,10.847714732678826,S
0,3,female,13.036236491132122,0,1,24.725341196508367,S
0,3,male,26.730555310675598,0,0,24.387810668622897,S
1,2,male,40.05980134309351,0,0,16.64892580986995,S
0,3,male,27.46941055546959,0,0,7.0,C
0,3,female,47.13385916296817,0,0,121.35396178169822,C
1,3,male,11.585891719381294,0,1,61.423448188411484,S
0,1,male,28.854932625847344,1,2,22.074201037315234,C
1,3,female,13.971278667042572,0,0,29.581996243644458,S
0,3,female,33.363582591499615,1,0,8.250048072260086,S
0,3,male,39.6426486811676,0,1,25.113460081923257,S
1,2,female,23.95085847582736,0,0,37.995058655267314,S
1,3,male,1.0,0,0,23.16642674514953,S
1,3,male,31.387377761557936,0,1,148.2912561673708,S
1,1,male,34.24086262080211,0,0,30.241747679537298,S
1,3,male,33.85153705954037,0,0,14.834631384757904,Q
0,3,female,43.82938630186585,0,0,47.3304531269858,S
0,1,male,16.147355844211415,0,1,7.0,S
1,2,male,,0,0,15.531072836577067,S
1,3,female,43.3100901497357,2,0,13.63568923372063,S
1,1,female,7.656948991921798,0,0,18.08941749216374,S
0,3,male,32.83582191102773,1,0,48.71202409818965,C
0,2,female,22.94984202790794,0,0,21.183484908399667,S
1,3,male,28.02172792278025,2,0,50.5583763064037,S
0,1,female,33.172117802460036,1,0,27.493617999805377,S
1,3,female,23.153257230637372,0,0,13.396988064656771,S
1,3,female,20.891503050060656,0,2,53.139818807330755,S
0,3,male,29.409829009856296,1,0,8.710046100855903,S
1,3,male,15.95304873364637,0,1,8.131085161443325,S
1,1,male,15.970098453377775,0,0,22.47020244640525,S
0,3,male,37.15247939547804,0,0,9.67210820779596,S
1,1,male,15.214471578096127,1,0,7.0,Q
0,1,female,36.99575001091054,1,0,33.43903068209658,S
1,2,male,34.551095514247415,0,2,22.89870949975174,C
0,2,male,8.290319254512838,0,0,18.871059194785225,C
1,3,female,20.86922417197214,0,0,109.12941023701849,S
0,3,male,43.32931283656847,0,0,27.09640851698536,S
0,2,female,,2,0,63.70974490657692,S
1,2,male,23.42714885228735,0,0,7.0,S
0,3,male,34.54473071902276,0,0,26.94804276589256,S
0,2,male,38.400686111391146,0,0,64.79356881144666,C
1,2,male,25.981533367466053,1,0,27.997526525729374,Q
1,1,female,21.8298776637003,0,0,40.50875156332996,S
0,3,male,46.06843834038209,0,0,14.8891036933656,S
1,3,male,49.866795965570944,0,0,7.0,S
0,2,male,40.746296609381545,0,0,19.593770788174055,C
0,1,male,30.02381771078029,0,0,16.05333375899143,S
0,3,female,,0,0,64.57148007228226,S
1,3,male,19.034667121321217,0,0,8.950646048077715,C
1,2,female,35.27016926318909,2,0,108.90324046422288,S
1,3,female,34.020778650664205,1,1,101.54814869415803,Q
1,1,male,45.81918311535715,2,0,9.104935635897062,S
0,2,female,,0,0,13.689293009456508,S
0,3,male,10.963036378882183,2,1,72.29125617216998,Q
0,2,male,41.62337141267503,0,1,108.79567669433311,S
0,3,male,17.023272472227045,0,0,18.751317932396503,S
0,2,female,24.39234473657178,0,2,12.388153612434355,S
1,2,female,32.00240247502033,0,0,23.895882148870545,S
0,3,male,52.94800987740757,0,0,37.248404526280176,S
0,2,female,66.31902267206434,0,0,10.223414974610963,S
0,3,male,36.28067670963419,0,0,42.675203586566894,S
1,2,male,26.801640575355346,0,0,7.0,S
1,2,male,35.414067781766605,0,0,7.0,C
0,1,female,39.65186511048603,0,0,15.623329145799996,C
0,3,female,25.1519884933137,0,1,13.956499691729281,S
1,2,male,50.54253627094786,1,1,12.136360647640593,S
0,3,male,,1,0,21.611074868700598,S
1,2,male,34.97291706909673,0,1,12.375739540796301,S
1,3,male,36.991091024653535,0,1,7.0,C
0,1,male,34.05903932737347,0,0,11.849446633788263,C
0,3,female,39.067286005635346,1,0,117.92184572220437,S
1,3,male,21.59296176143692,0,0,16.94469351799805,S
0,3,male,22.300378952647634,0,1,18.824632957708697,S
0,3,male,15.798149204339662,0,0,27.497856133890682,S
1,3,female,34.274014767442715,0,0,131.0333045315222,S
1,3,female,38.34723804214537,0,0,8.849472355416795,Q
1,1,male,34.49327439382263,1,0,36.59036564829728,C
1,1,female,49.093909200170444,0,0,40.27926868138952,S
0,3,male,28.932847774051442,0,0,29.91268787324169,S
0,3,male,37.02489986711015,1,0,7.0,Q
1,3,male,15.899589486328228,1,1,36.15064329751321,S
0,2,male,24.354803570307187,0,1,7.0,S
0,1,male,37.34645309078933,0,0,29.014193802184582,S
1,1,female,39.18922532891773,0,2,43.054850789292864,C
0,3,female,25.472396628029813,2,0,7.582425517422799,S
0,2,female,28.1408089777032,0,0,58.96866386437741,S
0,2,male,10.785515039830287,2,0,7.0,C
0,2,male,24.715649590320687,0,1,59.414412759493544,C
0,1,female,39.68459796223743,0,1,19.737461702303804,Q
0,3,male,35.9024601932788,0,0,7.851959877840995,S
0,2,male,35.00798865657452,0,1,7.0,S
1,3,male,29.597284246171522,0,0,98.05326744025658,C
1,2,female,,0,0,7.0,C
0,2,male,21.076146326318636,0,0,7.104350971167177,S
1,1,male,,2,0,13.678024989036237,S
0,1,female,34.05167533267268,0,0,30.982471708764713,C
0,2,male,34.90422617591359,1,1,25.184664971106034,C
1,2,male,22.687581887989033,0,0,7.0,S
0,3,male,3.1598849615450675,0,0,10.947432346355328,S
1,2,male,42.16583254104435,0,0,8.729465168336704,S
0,3,female,23.25395052789915,0,0,7.686945457898641,S
1,3,male,,2,1,16.946373721841596,S
0,3,male,37.32174694296792,0,0,38.96006684990515,S
1,1,female,24.295848320970443,0,0,7.846438651382227,S
0,2,female,41.71923660855946,0,1,14.616885965542343,S
1,1,female,36.40407139492037,0,0,15.865645835319263,S
0,2,male,37.20283187840573,0,0,119.96501617173621,C
0,3,male,12.60853146559359,1,0,98.99858714840293,S
1,1,female,43.543327824636805,1,0,51.52403401330302,S
0,2,female,32.135006374806274,0,0,8.851904704415693,C
1,3,male,24.568674329045564,0,0,7.0,S
1,3,male,30.72066160810701,0,1,12.195842385021724,Q
0,3,male,7.68517720522016,0,1,9.930538531275593,C
1,1,female,33.90383373776805,0,0,22.562226270099824,S
0,2,male,16.647541901815142,0,0,48.12329655220193,Q
1,3,male,12.767956569877587,0,1,62.53456092152458,S
0,1,male,10.731689765385305,0,0,59.6305176949767,S
0,2,female,42.3522604998791,0,0,14.26496945561281,S
1,1,female,21.448839275686534,0,0,37.19363424035224,S
1,1,male,47.40473251899799,0,1,12.00574953980037,Q
0,2,female,22.570382443372427,0,0,7.0,S
1,1,female,8.511704508884641,1,0,38.69452848933831,S
0,3,male,15.60170672061609,0,0,7.0,S
0,3,male,43.829739440083266,0,1,16.83994419008477,S
0,3,male,27.12922186475999,0,0,12.785649016688383,S
0,2,female,22.42055244211279,1,2,37.82841777092709,S
0,1,male,30.920218710233453,0,0,46.51147978018748,C
0,1,female,35.02139283401054,0,0,11.601331171704038,S
1,3,female,42.408785790829526,0,0,53.418602108612326,C
1,3,male,46.38199075871512,1,0,11.136708655084405,S
1,1,female,24.68277625053097,2,1,18.91775562462713,C
0,3,male,13.08742776701554,0,0,41.547243219862885,C
0,1,male,24.038418066520688,1,0,37.78072721563994,S
1,3,female,32.123366078994636,2,0,139.88990057164767,S
1,3,female,17.43489288547267,2,0,8.163201420751216,C
0,3,male,17.514189021259483,0,0,34.740812758957006,S
1,3,female,33.12545457859863,0,0,30.105384079674575,Q
1,3,female,28.416171781154585,0,2,78.92041542220642,S
1,2,male,29.39356394493904,1,0,7.0,S
1,3,female,19.898055983599164,0,0,44.59241623406328,S
1,1,male,26.235191429530794,0,0,26.878453793675156,Q
0,3,male,17.909202268780348,0,0,10.275931553184606,S
1,3,male,39.68238093349744,1,0,20.584999719640727,C
1,3,female,41.42299201668503,1,1,12.996167195327132,C
0,2,female,6.845745653142874,0,0,27.707748710306323,S
0,3,male,17.84586967769108,1,0,70.34337857663267,S
0,3,male,11.041648938919053,0,0,26.95536191378727,C
1,3,female,21.19971278711722,1,2,31.96538646807678,S
