square_feet,bedrooms,bathrooms,age,location,price
2953,3,2.25,43.0,Downtown,702700.0
2655,2,1.5,15.0,Downtown,622500.0
2285,2,1.5,22.0,Suburbs,359600.0
1721,2,2.0,37.0,Downtown,414600.0
3313,3,2.25,42.0,Rural,394800.0
1829,1,1.25,12.0,Suburbs,270000.0
2200,3,2.25,47.0,Downtown,544600.0
1402,2,2.0,49.0,Downtown,330700.0
3149,3,2.25,42.0,Suburbs,519200.0
3477,3,2.25,38.0,Suburbs,568400.0
2279,3,2.25,18.0,Suburbs,434800.0
861,2,2.0,45.0,Rural,161900.0
901,4,3.5,35.0,Rural,179300.0
2681,3,2.25,30.0,Downtown,631600.0
1695,2,1.5,24.0,Suburbs,287900.0
3017,3,2.75,42.0,Downtown,721200.0
1515,2,2.0,30.0,Downtown,338900.0
1155,2,2.0,14.0,Suburbs,234300.0
1975,3,2.25,6.0,Suburbs,386800.0
1716,2,2.0,3.0,Downtown,474100.0
3043,2,1.5,16.0,Suburbs,518800.0
3467,2,2.0,7.0,Downtown,817900.0
1037,2,1.5,14.0,Suburbs,224300.0
1578,2,2.0,9.0,Suburbs,328200.0
1776,3,2.75,15.0,Suburbs,351800.0
1491,3,2.75,21.0,Suburbs,308900.0
2964,3,2.75,35.0,Rural,355700.0
1463,3,2.75,2.0,Suburbs,295700.0
2935,3,2.25,27.0,Rural,364900.0
1079,3,2.75,2.0,Downtown,357100.0
1192,2,2.0,35.0,Downtown,282900.0
1880,2,2.0,18.0,Suburbs,333500.0
2762,2,1.5,14.0,Downtown,638200.0
764,1,1.25,20.0,Downtown,204500.0
3268,3,2.25,18.0,Suburbs,555100.0
2067,2,2.0,10.0,Suburbs,335700.0
1852,3,2.75,25.0,Rural,266500.0
2727,4,3.0,2.0,Rural,395100.0
3395,3,2.75,25.0,Suburbs,571300.0
2195,2,1.5,33.0,Downtown,500200.0
1862,1,0.75,36.0,Rural,188800.0
2222,4,3.5,31.0,Rural,329200.0
3340,4,3.0,14.0,Rural,494700.0
1091,2,2.0,1.0,Downtown,298600.0
2398,3,2.75,46.0,Suburbs,406000.0
1118,1,0.75,16.0,Suburbs,171600.0
3036,2,1.5,46.0,Suburbs,462900.0
1078,2,1.5,3.0,Downtown,321500.0
2496,2,1.5,,Downtown,588300.0
2978,4,3.5,41.0,Suburbs,548400.0
2788,3,2.75,6.0,Rural,384600.0
2882,2,1.5,25.0,Downtown,634400.0
900,3,2.75,13.0,Downtown,294100.0
2563,4,3.5,34.0,Suburbs,491600.0
1479,4,3.5,8.0,Downtown,484000.0
1202,1,1.25,21.0,Suburbs,218200.0
3154,2,1.5,34.0,Suburbs,503500.0
2451,1,0.75,4.0,Suburbs,375900.0
1504,2,2.0,25.0,Suburbs,262800.0
2846,2,1.5,15.0,Suburbs,480400.0
3431,3,2.25,4.0,Downtown,851600.0
2595,2,1.5,45.0,Suburbs,417100.0
3473,2,2.0,12.0,Downtown,794800.0
2270,2,2.0,32.0,Suburbs,360500.0
1660,2,2.0,32.0,Rural,212400.0
3360,2,1.5,28.0,Rural,423600.0
2185,2,2.0,13.0,Suburbs,374300.0
3390,1,1.25,31.0,Suburbs,524300.0
1728,2,1.5,14.0,Suburbs,312000.0
1202,2,2.0,20.0,Downtown,333800.0
1097,3,2.75,18.0,Downtown,370100.0
1570,2,1.5,29.0,Suburbs,289900.0
1092,1,0.75,6.0,Downtown,254000.0
906,1,0.75,32.0,Suburbs,102400.0
1738,4,3.5,29.0,Suburbs,351500.0
2581,2,2.0,43.0,Downtown,580900.0
2184,3,2.75,2.0,Suburbs,420200.0
1563,4,3.0,23.0,Downtown,493500.0
3490,1,0.75,,Suburbs,533800.0
1263,3,2.75,31.0,Rural,203600.0
1720,3,2.75,5.0,Suburbs,356300.0
795,2,1.5,19.0,Suburbs,155100.0
2623,2,1.5,34.0,Downtown,558400.0
2457,3,2.25,10.0,Suburbs,447400.0
3232,2,1.5,25.0,Rural,438700.0
2978,4,3.5,2.0,Downtown,785900.0
3496,2,1.5,11.0,Downtown,775500.0
2378,3,2.75,31.0,Downtown,625000.0
1240,2,2.0,15.0,Rural,191900.0
1759,3,2.75,9.0,Rural,268900.0
3272,3,2.25,23.0,Downtown,801400.0
1883,1,0.75,19.0,Downtown,398400.0
2422,1,0.75,9.0,Suburbs,382700.0
2519,1,0.75,35.0,Suburbs,387200.0
3325,1,1.25,21.0,Downtown,756500.0
3429,1,0.75,9.0,Suburbs,517800.0
3304,3,2.25,28.0,Suburbs,576800.0
2297,3,2.75,46.0,Suburbs,404300.0
3393,3,2.25,7.0,Suburbs,594400.0
1495,4,3.5,16.0,Downtown,473400.0
1751,3,2.75,16.0,Rural,239200.0
2343,3,2.75,33.0,Suburbs,432900.0
2063,3,2.75,,Downtown,533500.0
2681,2,2.0,4.0,Rural,334900.0
2054,2,2.0,39.0,Suburbs,352400.0
2363,2,2.0,40.0,Downtown,550100.0
2229,2,2.0,17.0,Suburbs,388500.0
2738,2,1.5,37.0,Suburbs,449900.0
2196,2,1.5,39.0,Rural,284200.0
2937,3,2.25,29.0,Suburbs,521200.0
2108,3,2.25,36.0,Downtown,510400.0
2100,1,1.25,38.0,Downtown,459000.0
2006,2,1.5,39.0,Suburbs,325100.0
3380,1,1.25,37.0,Downtown,739900.0
3375,2,1.5,35.0,Rural,396600.0
1672,2,1.5,7.0,Suburbs,298500.0
2468,3,2.25,27.0,Rural,315700.0
1982,2,2.0,28.0,Downtown,477900.0
1409,3,2.25,22.0,Downtown,398100.0
2179,4,3.5,14.0,Downtown,627300.0
2134,1,1.25,7.0,Suburbs,358300.0
1348,3,2.25,37.0,Rural,201500.0
1017,3,2.25,,Rural,163600.0
1957,2,1.5,5.0,Downtown,474900.0
1383,2,2.0,2.0,Downtown,371200.0
1363,3,2.25,27.0,Downtown,389100.0
2698,3,2.75,21.0,Suburbs,490800.0
2331,3,2.75,38.0,Downtown,548500.0
2195,4,3.0,15.0,Downtown,624400.0
1836,3,2.25,21.0,Downtown,510400.0
2553,4,3.5,10.0,Downtown,693400.0
2220,3,2.75,23.0,Suburbs,415000.0
3189,3,2.75,39.0,Suburbs,532200.0
1263,3,2.25,5.0,Suburbs,283900.0
1991,1,1.25,1.0,Suburbs,320200.0
2336,3,2.25,13.0,Downtown,597300.0
1398,3,2.75,21.0,Downtown,418900.0
2860,2,2.0,26.0,Downtown,680700.0
701,4,3.0,45.0,Suburbs,186500.0
1341,2,2.0,21.0,Downtown,345100.0
2967,3,2.25,18.0,Suburbs,493200.0
2289,3,2.25,37.0,Suburbs,385000.0
1554,3,2.75,45.0,Downtown,396300.0
2459,2,1.5,,Rural,296200.0
3132,3,2.25,36.0,Suburbs,524700.0
2361,3,2.75,17.0,Suburbs,432000.0
1853,1,0.75,35.0,Suburbs,275500.0
1776,1,0.75,49.0,Suburbs,265400.0
2407,3,2.25,11.0,Downtown,610000.0
3477,2,2.0,21.0,Suburbs,549800.0
2395,2,1.5,26.0,Downtown,540000.0
2433,3,2.75,4.0,Suburbs,469700.0
2139,2,2.0,34.0,Suburbs,367000.0
2994,3,2.25,48.0,Suburbs,497200.0
1535,2,1.5,18.0,Suburbs,291800.0
902,3,2.25,40.0,Suburbs,182500.0
822,2,2.0,35.0,Suburbs,189100.0
1100,3,2.25,41.0,Downtown,311900.0
1466,2,1.5,29.0,Suburbs,213000.0
993,3,2.25,29.0,Rural,184500.0
3027,2,1.5,38.0,Suburbs,464500.0
897,3,2.25,42.0,Downtown,240100.0
2630,3,2.75,21.0,Downtown,670800.0
3499,4,3.5,42.0,Downtown,831900.0
2891,3,2.25,13.0,Downtown,704500.0
1308,2,1.5,49.0,Downtown,313400.0
1847,3,2.25,41.0,Downtown,464800.0
886,2,1.5,17.0,Downtown,258400.0
3211,2,2.0,9.0,Downtown,749900.0
2494,1,0.75,41.0,Suburbs,340000.0
1359,3,2.75,1.0,Suburbs,313500.0
2655,3,2.75,2.0,Downtown,708700.0
3150,2,1.5,48.0,Downtown,691600.0
2069,3,2.75,29.0,Downtown,537000.0
2686,1,1.25,33.0,Downtown,559400.0
2234,2,2.0,10.0,Rural,332900.0
846,2,2.0,40.0,Suburbs,164100.0
2434,1,0.75,21.0,Suburbs,371500.0
2543,2,1.5,28.0,Suburbs,410900.0
1188,3,2.75,11.0,Suburbs,269400.0
2659,3,2.25,34.0,Downtown,652800.0
2363,2,1.5,8.0,Suburbs,409300.0
3298,2,1.5,22.0,Downtown,758700.0
3085,1,0.75,8.0,Suburbs,487000.0
1340,3,2.25,49.0,Downtown,337100.0
2502,1,1.25,15.0,Downtown,570000.0
3220,3,2.25,17.0,Suburbs,565000.0
2669,4,3.0,23.0,Downtown,693700.0
2898,3,2.25,24.0,Suburbs,489500.0
2138,4,3.0,45.0,Suburbs,400800.0
2334,2,2.0,19.0,Suburbs,402300.0
962,3,2.75,5.0,Suburbs,231000.0
2487,3,2.75,32.0,Suburbs,428400.0
2891,3,2.75,44.0,Downtown,691700.0
3093,1,0.75,1.0,Downtown,698400.0
1323,1,1.25,23.0,Downtown,296200.0
1716,1,0.75,37.0,Suburbs,241700.0
1580,3,2.25,8.0,Downtown,434100.0
2749,3,2.25,13.0,Suburbs,495100.0
2027,3,2.25,8.0,Suburbs,374000.0
3001,1,0.75,23.0,Rural,376500.0
1152,3,2.75,43.0,Suburbs,223600.0
1883,2,2.0,1.0,Downtown,455700.0
2756,2,2.0,45.0,Downtown,613300.0
2382,1,1.25,24.0,Suburbs,372200.0
2955,3,2.25,35.0,Suburbs,514900.0
1854,2,2.0,24.0,Suburbs,328400.0
1103,3,2.25,17.0,Rural,166300.0
2899,3,2.75,5.0,Suburbs,525600.0
2801,1,0.75,20.0,Suburbs,435100.0
2396,3,2.25,21.0,Suburbs,395900.0
1327,2,2.0,40.0,Downtown,340700.0
1286,2,1.5,31.0,Suburbs,209400.0
2348,2,1.5,46.0,Suburbs,387500.0
2143,2,2.0,36.0,Downtown,503500.0
2145,3,2.25,11.0,Rural,310000.0
803,2,2.0,15.0,Suburbs,192700.0
953,3,2.75,19.0,Suburbs,232500.0
3257,3,2.75,7.0,Suburbs,591600.0
2196,3,2.25,28.0,Downtown,545500.0
798,3,2.25,43.0,Suburbs,172300.0
2900,3,2.25,5.0,Downtown,719200.0
2584,2,2.0,5.0,Downtown,628500.0
2619,2,1.5,30.0,Downtown,621500.0
1577,3,2.75,32.0,Suburbs,292400.0
1037,3,2.75,8.0,Rural,188000.0
1656,2,1.5,10.0,Downtown,419500.0
2404,2,2.0,38.0,Downtown,545000.0
860,2,1.5,47.0,Suburbs,149700.0
2303,4,3.0,32.0,Rural,333900.0
1097,1,0.75,48.0,Suburbs,132700.0
2000,2,1.5,,Suburbs,341500.0
1515,2,1.5,17.0,Suburbs,254000.0
2227,2,2.0,31.0,Downtown,534100.0
2619,3,2.75,,Suburbs,475500.0
2115,1,1.25,40.0,Suburbs,318500.0
1858,3,2.25,25.0,Suburbs,353600.0
1918,1,0.75,9.0,Suburbs,304600.0
1100,3,2.25,2.0,Downtown,367900.0
1339,1,1.25,15.0,Downtown,302000.0
3435,1,0.75,3.0,Suburbs,563400.0
1159,3,2.75,49.0,Suburbs,216600.0
1654,4,3.5,36.0,Downtown,453500.0
1169,3,2.25,4.0,Suburbs,256400.0
1745,3,2.25,14.0,Suburbs,331100.0
3497,4,3.5,41.0,Rural,455100.0
2393,1,0.75,41.0,Downtown,490600.0
2785,4,3.5,25.0,Suburbs,539200.0
2977,2,1.5,10.0,Downtown,692300.0
1262,3,2.25,21.0,Suburbs,247900.0
3185,3,2.75,36.0,Downtown,741600.0
2499,3,2.25,12.0,Suburbs,445800.0
2774,3,2.75,27.0,Suburbs,460800.0
925,2,1.5,40.0,Suburbs,147900.0
1497,3,2.75,2.0,Rural,260600.0
3031,2,2.0,13.0,Downtown,704000.0
1659,4,3.0,32.0,Suburbs,346300.0
2204,3,2.75,31.0,Suburbs,381200.0
1152,2,1.5,16.0,Downtown,330100.0
1515,3,2.25,32.0,Suburbs,312800.0
1358,3,2.25,32.0,Suburbs,270600.0
1246,3,2.75,34.0,Rural,219500.0
1915,3,2.75,11.0,Suburbs,381600.0
716,1,0.75,10.0,Downtown,189900.0
1943,3,2.25,15.0,Rural,293800.0
2905,4,3.5,17.0,Suburbs,551400.0
3224,2,1.5,40.0,Suburbs,480300.0
1769,3,2.25,18.0,Suburbs,349200.0
3265,2,2.0,9.0,Downtown,764000.0
2846,2,1.5,25.0,Rural,340500.0
2468,3,2.75,40.0,Downtown,606700.0
1760,3,2.25,14.0,Suburbs,348500.0
3027,2,2.0,25.0,Downtown,700900.0
3244,3,2.25,22.0,Rural,425500.0
1001,1,0.75,30.0,Downtown,199600.0
880,1,1.25,20.0,Rural,113400.0
1306,1,0.75,21.0,Downtown,299600.0
1399,1,1.25,44.0,Downtown,314800.0
1692,2,1.5,32.0,Downtown,426400.0
1839,3,2.75,46.0,Suburbs,336300.0
890,3,2.75,49.0,Suburbs,197100.0
3000,1,1.25,21.0,Downtown,686300.0
1680,3,2.75,,Suburbs,321900.0
2706,3,2.25,32.0,Rural,357400.0
1884,2,1.5,30.0,Rural,246000.0
827,4,3.5,39.0,Downtown,322800.0
2765,4,3.5,49.0,Suburbs,478700.0
2516,2,2.0,12.0,Suburbs,421300.0
2458,2,1.5,41.0,Suburbs,388000.0
3313,4,3.0,47.0,Downtown,803600.0
1269,3,2.25,18.0,Downtown,384100.0
2046,1,0.75,21.0,Rural,244700.0
2595,3,2.75,13.0,Suburbs,474000.0
3433,3,2.75,21.0,Rural,451700.0
1325,3,2.75,8.0,Rural,222600.0
2386,3,2.25,46.0,Suburbs,428100.0
854,3,2.25,40.0,Rural,136100.0
3237,2,1.5,46.0,Suburbs,493800.0
2109,2,2.0,7.0,Suburbs,386100.0
1484,3,2.75,23.0,Downtown,422400.0
945,4,3.0,44.0,Suburbs,194200.0
2200,2,2.0,32.0,Downtown,515000.0
2405,3,2.25,11.0,Downtown,614100.0
1237,3,2.25,22.0,Downtown,346800.0
2590,2,2.0,,Suburbs,454000.0
2541,3,2.25,43.0,Downtown,587600.0
1620,3,2.75,25.0,Downtown,452000.0
3155,3,2.25,22.0,Downtown,755500.0
1224,3,2.75,28.0,Suburbs,257200.0
2229,2,2.0,29.0,Suburbs,381500.0
735,3,2.75,13.0,Downtown,256500.0
1384,2,1.5,18.0,Suburbs,252500.0
719,2,1.5,2.0,Downtown,266500.0
3068,3,2.75,29.0,Downtown,720300.0
3259,1,1.25,21.0,Downtown,710100.0
1099,2,1.5,,Downtown,303600.0
3401,3,2.25,27.0,Rural,434400.0
1671,2,1.5,31.0,Downtown,401800.0
2606,2,2.0,15.0,Rural,298800.0
3218,3,2.25,23.0,Downtown,778600.0
1866,3,2.25,24.0,Suburbs,334500.0
1815,2,2.0,44.0,Suburbs,302900.0
1533,3,2.25,13.0,Downtown,429300.0
2523,2,1.5,22.0,Suburbs,450600.0
3474,3,2.25,43.0,Suburbs,576300.0
2682,3,2.75,37.0,Suburbs,463600.0
1553,4,3.5,33.0,Downtown,439300.0
750,3,2.75,3.0,Downtown,295100.0
1274,3,2.75,19.0,Downtown,393300.0
1848,3,2.75,23.0,Downtown,494700.0
2897,1,1.25,29.0,Downtown,616200.0
3061,2,2.0,30.0,Suburbs,490600.0
3317,3,2.25,39.0,Rural,419400.0
3052,2,1.5,44.0,Suburbs,485200.0
2415,3,2.75,47.0,Rural,331900.0
1381,1,0.75,,Downtown,289100.0
1537,3,2.25,37.0,Suburbs,291400.0
1777,2,2.0,47.0,Suburbs,287700.0
3191,2,1.5,8.0,Suburbs,529300.0
3360,3,2.25,42.0,Suburbs,558000.0
3011,3,2.25,16.0,Suburbs,531800.0
2295,3,2.25,8.0,Downtown,604700.0
704,2,1.5,1.0,Downtown,214600.0
1826,2,2.0,44.0,Downtown,408600.0
1919,3,2.75,5.0,Rural,309400.0
1473,1,1.25,3.0,Downtown,357800.0
1576,3,2.25,1.0,Downtown,460200.0
1691,3,2.75,4.0,Suburbs,365500.0
746,3,2.25,40.0,Downtown,233600.0
3403,3,2.25,35.0,Suburbs,573600.0
968,3,2.25,32.0,Rural,165800.0
1069,4,3.0,42.0,Downtown,301900.0
1335,2,2.0,34.0,Downtown,323400.0
1829,2,2.0,43.0,Suburbs,308400.0
2393,2,1.5,,Rural,320000.0
2382,2,2.0,,Downtown,571200.0
1356,3,2.25,21.0,Suburbs,259700.0
819,4,3.5,46.0,Suburbs,194600.0
1530,1,1.25,39.0,Downtown,336000.0
2510,1,0.75,27.0,Suburbs,376200.0
1781,2,2.0,27.0,Rural,232500.0
2674,3,2.25,2.0,Suburbs,498300.0
2069,3,2.75,41.0,Suburbs,325800.0
1440,1,0.75,48.0,Downtown,307200.0
816,4,3.0,13.0,Suburbs,218400.0
2553,3,2.75,9.0,Downtown,667200.0
1850,1,1.25,36.0,Suburbs,255900.0
2631,3,2.25,22.0,Suburbs,456300.0
1712,3,2.75,42.0,Downtown,459400.0
2364,2,2.0,26.0,Downtown,529300.0
1781,1,0.75,12.0,Downtown,416100.0
1333,1,0.75,17.0,Downtown,294000.0
1212,1,1.25,14.0,Downtown,298200.0
1819,3,2.25,14.0,Suburbs,358700.0
1841,4,3.0,34.0,Suburbs,368800.0
1259,1,0.75,20.0,Rural,136200.0
1187,2,2.0,11.0,Downtown,326400.0
1596,2,2.0,16.0,Downtown,388800.0
1912,2,1.5,31.0,Suburbs,323200.0
1403,3,2.75,6.0,Suburbs,330000.0
2170,2,1.5,19.0,Downtown,485700.0
1280,2,2.0,37.0,Rural,157300.0
2994,2,1.5,4.0,Downtown,704400.0
853,3,2.25,47.0,Downtown,241900.0
2379,2,2.0,4.0,Downtown,605200.0
1696,3,2.25,20.0,Suburbs,322100.0
3444,2,2.0,10.0,Suburbs,571900.0
1943,3,2.75,24.0,Suburbs,384000.0
1792,3,2.25,35.0,Suburbs,333700.0
1708,1,0.75,26.0,Rural,203200.0
2841,2,2.0,37.0,Suburbs,460800.0
2473,3,2.25,38.0,Downtown,606900.0
1657,4,3.0,21.0,Suburbs,337700.0
1152,2,1.5,40.0,Suburbs,180900.0
1927,2,1.5,,Suburbs,340200.0
2965,4,3.0,21.0,Suburbs,519400.0
3221,3,2.75,10.0,Downtown,803800.0
3179,1,1.25,38.0,Suburbs,474100.0
3088,4,3.0,46.0,Downtown,731000.0
1250,2,1.5,4.0,Suburbs,229500.0
2335,3,2.25,45.0,Suburbs,393600.0
2012,2,2.0,20.0,Suburbs,367300.0
2457,1,0.75,17.0,Downtown,524400.0
1056,2,2.0,7.0,Downtown,328200.0
2770,3,2.75,4.0,Suburbs,512400.0
2485,2,2.0,29.0,Suburbs,433400.0
3269,2,1.5,14.0,Downtown,741800.0
2481,2,2.0,3.0,Suburbs,438400.0
3189,3,2.25,24.0,Suburbs,549900.0
2331,4,3.5,37.0,Downtown,617000.0
1715,2,1.5,16.0,Downtown,436000.0
2048,3,2.75,4.0,Suburbs,370100.0
1215,3,2.25,24.0,Rural,222500.0
1035,3,2.75,34.0,Downtown,322600.0
2482,2,1.5,30.0,Suburbs,399700.0
3005,2,1.5,18.0,Downtown,681600.0
1196,2,1.5,19.0,Downtown,295600.0
1595,2,1.5,31.0,Suburbs,277900.0
2907,2,2.0,19.0,Suburbs,502000.0
1551,3,2.75,49.0,Suburbs,281200.0
2387,2,1.5,46.0,Downtown,537500.0
2631,2,2.0,19.0,Suburbs,432000.0
3437,3,2.25,22.0,Downtown,800700.0
3127,2,1.5,24.0,Downtown,734300.0
2268,3,2.75,45.0,Suburbs,404100.0
1656,3,2.25,12.0,Downtown,477900.0
3438,2,1.5,,Suburbs,542900.0
2336,3,2.75,38.0,Downtown,563500.0
1991,3,2.25,31.0,Downtown,495300.0
2140,3,2.25,36.0,Suburbs,362600.0
1891,2,1.5,19.0,Suburbs,335200.0
1766,2,1.5,48.0,Suburbs,265600.0
984,3,2.75,45.0,Suburbs,185000.0
3144,1,1.25,36.0,Suburbs,477700.0
711,2,2.0,30.0,Suburbs,127300.0
2330,1,0.75,49.0,Rural,220900.0
3246,3,2.25,33.0,Suburbs,545900.0
1453,2,2.0,18.0,Suburbs,243700.0
2782,3,2.25,49.0,Downtown,653200.0
3474,3,2.25,28.0,Suburbs,562200.0
789,3,2.25,47.0,Rural,87400.0
1475,4,3.0,11.0,Downtown,457900.0
3352,3,2.75,45.0,Downtown,783100.0
2325,3,2.75,33.0,Suburbs,423100.0
